year,short_cite,led_by_kinney,title,authors,venue,citations,paper,preprint,pub_id,github,readthedocs,has_pdf,has_si,doi
2026,Liu et al. (2026),TRUE,PoolParty: streamlined design of DNA sequence libraries in Python,"Zhihan Liu, Aidan Cordero, Justin B Kinney","bioRxiv, 2026.04. 06.716802, 2026",,,https://www.biorxiv.org/content/10.64898/2026.04.06.716802v1,Liu2026_poolparty,https://github.com/jbkinney/poolparty-statetracker,https://poolparty.readthedocs.io,TRUE,,10.64898/2026.04.06.716802
2026,Kinney (2026),TRUE,Mount Fuji's stubby peak: the genotypic density of additive landscapes near maximal fitness,Justin B Kinney,"bioRxiv, 2026.04. 02.716185, 2026",,,https://www.biorxiv.org/content/10.64898/2026.04.02.716185v1,Kinney2026_mountfuji,https://github.com/jbkinney/26_stubby,,TRUE,TRUE,10.64898/2026.04.02.716185
2026,Wu et al. (2026),FALSE,A developmental timer coordinates organism-wide microRNA transcription,"Peipei Wu, Jing Wang, Brett Pryor, Isabella Valentino, David F Ritter, Kaiser Loel, Justin B Kinney, Sevinc Ercan, Leemor Joshua-Tor, Christopher M Hammell","bioRxiv, 2026.01. 21.700890, 2026",,,https://www.biorxiv.org/content/10.64898/2026.01.21.700890v1.full,Wu2026_microrna,,,TRUE,,10.64898/2026.01.21.700890
2026,Bauer et al. (2026),FALSE,Evolution of Origin Sequence and Recognition for Licensing of Eukaryotic DNA Replication,"Jack Bauer, Narges Zali, Om P Chouhan, Osama El Demerdash, Kaiser Loell, Justin B Kinney, Leemor W Joshua-Tor, Bruce Stillman","bioRxiv, 2026.03. 10.710760, 2026",,,https://www.biorxiv.org/content/10.64898/2026.03.10.710760v1,Bauer2026_origins,,,TRUE,TRUE,10.64898/2026.03.10.710760
2026,Schilder et al. (2026),FALSE,Genetic background shapes AI-predicted variant effects,"Brian M Schilder, Zhihan Liu, John J Desmarais, David Laub, Fahimeh Rahimi, Palash Sethi, Lucas A Pereira, Mengyi Sun, Justin B Kinney, David M McCandlish, Juannan Zhou, Peter K Koo","bioRxiv, 2026.04. 04.715328, 2026",,,https://www.biorxiv.org/content/10.64898/2026.04.04.715328v1,Schilder2026_varianteffects,,,TRUE,TRUE,10.64898/2026.04.04.715328
2026,Martí-Gómez et al. (2026),FALSE,Inference and visualization of complex genotype-phenotype maps,"Carlos Martí-Gómez, Juannan Zhou, Wei-Chia Chen, Arlin Stoltzfus, Justin B Kinney, David M McCandlish","Mol Biol Evol, msag023, 2026",,https://academic.oup.com/mbe/advance-article/doi/10.1093/molbev/msag023/8456298,,MartiGomez2026_gpmaptools,,,TRUE,TRUE,10.1093/molbev/msag023
2025,Martí-Gómez et al. (2025),TRUE,GaugeFixer: overcoming parameter non-identifiability in models of sequence-function relationships,"Carlos Martí-Gómez, David M McCandlish, Justin B Kinney","bioRxiv, 2025.12. 08.693054, 2025",,,https://www.biorxiv.org/content/10.64898/2025.12.08.693054v1,MartiGomez2025_gaugefixer,https://github.com/jbkinney/gaugefixer,,TRUE,TRUE,10.64898/2025.12.08.693054
2025,Seitz et al. (2025),TRUE,Uncovering the mechanistic landscape of regulatory DNA with deep learning,"Evan E Seitz, David M McCandlish, Justin B Kinney*, Peter K Koo*","bioRxiv, 2025.10. 07.681052, 2025",,,https://www.biorxiv.org/content/10.1101/2025.10.07.681052v1.abstract,Seitz2025_regulatory,https://github.com/evanseitz/sean-nn,https://seam-nn.readthedocs.io,TRUE,TRUE,10.1101/2025.10.07.681052
2025,Rousseau et al. (2025),TRUE,Algebraic and Diagrammatic Methods for the Rule-Based Modeling of Multiparticle Complexes,"Rebecca J Rousseau, Justin B Kinney","PRX Life 3 (2), 023004, 2025",,https://journals.aps.org/prxlife/abstract/10.1103/PRXLife.3.023004,,Rousseau2025_multiparticle,https://github.com/Rebecca-J-Rousseau/RousseauKinney2024_algebra,,TRUE,,10.1103/prxlife.3.023004
2025,Posfai et al. (2025),TRUE,"Symmetry, gauge freedoms, and the interpretability of sequence-function relationships","Anna Posfai, David M McCandlish, Justin B Kinney","Phys Rev Res 7 (2), 023005, 2025",,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.7.023005,,Posfai2025_symmetry,https://github.com/evanseitz/seam-nn,,TRUE,TRUE,10.1103/physrevresearch.7.023005
2025,Posfai et al. (2025),TRUE,Gauge fixing for sequence-function relationships,"Anna Posfai, Juannan Zhou, David M McCandlish*, Justin B Kinney*","PLoS Comput Biol 21 (3), e1012818, 2025",,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1012818,,Posfai2025_gaugefixing,https://github.com/jbkinney/24_posfai1,,TRUE,TRUE,10.1371/journal.pcbi.1012818
2025,Steinberg et al. (2025),FALSE,HENMT1 restricts endogenous retrovirus activity by methylation of 3'-tRNA fragments,"Josh I Steinberg, Helene Sertznig, John J Desmarais, Jenna Wilken, Daisy Rubio, Matthew Peacey, Justin B Kinney, Andrea J Schorn","bioRxiv, 2025.05. 12.650695, 2025",,,https://www.biorxiv.org/content/10.1101/2025.05.12.650695v2,Steinberg2025_henmt1,,,TRUE,,10.1101/2025.05.12.650695
2025,Petti et al. (2025),FALSE,"On learning functions over biological sequence space: relating Gaussian process priors, regularization, and gauge fixing","Samantha Petti, Carlos Martí-Gómez, Justin B Kinney, Juannan Zhou, David M McCandlish","arXiv:2504.19034, 2025",,,https://arxiv.org/abs/2504.19034,Petti2025_gaussian,,,TRUE,,10.48550/arxiv.2504.19034
2025,Alpsoy et al. (2025),FALSE,Structural basis of DNA-dependent coactivator recruitment by the tuft cell master regulator POU2F3,"Aktan Alpsoy, Jonathan J Ipsaro, Damianos Skopelitis, Sujay Pal, Frank S Chung, Shannon Carpenter, John J Desmarais, Xiaoli S Wu, Kenneth Chang, Matthew T DiMare, Erin Harten, Staci Bergman, Justin B Kinney, Jeffrey A Engelman, Hyo-Eun C Bhang, Leemor Joshua-Tor, Christopher R Vakoc","Cell Rep 44 (11), 2025",,https://www.cell.com/cell-reports/fulltext/S2211-1247(25)01344-0,,Alpsoy2025_pou2f3,,,TRUE,TRUE,10.1016/j.celrep.2025.116572
2024,Ishigami et al. (2024),TRUE,"Specificity, synergy, and mechanisms of splice-modifying drugs","Yuma Ishigami, Mandy S Wong, Carlos Martí-Gómez, Andalus Ayaz, Mahdi Kooshkbaghi, Sonya M Hanson, David M McCandlish, Adrian R Krainer*, Justin B Kinney*","Nat Commun 15 (1), 1880, 2024",,https://www.nature.com/articles/s41467-024-46090-5,,Ishigami2024_splicedrugs,https://github.com/jbkinney/23_ishigami,,TRUE,TRUE,10.1038/s41467-024-46090-5
2024,Seitz et al. (2024),TRUE,Interpreting cis-regulatory mechanisms from genomic deep neural networks using surrogate models,"Evan E Seitz, David M McCandlish, Justin B Kinney*, Peter K Koo*","Nat Mach Intell 6 (6), 701-713, 2024",,https://www.nature.com/articles/s42256-024-00851-5,,Seitz2024_squid,https://github.com/evanseitz/squid-nn,https://squid-nn.readthedocs.io,TRUE,TRUE,10.1038/s42256-024-00851-5
2022,Tareen et al. (2022),TRUE,MAVE-NN: learning genotype-phenotype maps from multiplex assays of variant effect,"Ammar Tareen, Mahdi Kooshkbaghi, Anna Posfai, William T Ireland, David M McCandlish, Justin B Kinney","Genome Biol 23 (1), 98, 2022",,https://link.springer.com/article/10.1186/s13059-022-02661-7,,Tareen2022_mavenn,https://github.com/jbkinney/mavenn,https://mavenn.readthedocs.io,TRUE,TRUE,10.1186/s13059-022-02661-7
2022,Zhou et al. (2022),FALSE,Higher-order epistasis and phenotypic prediction,"Juannan Zhou, Mandy S Wong, Wei-Chia Chen, Adrian R Krainer, Justin B Kinney, David M McCandlish","Proc Natl Acad Sci USA 119 (39), e2204233119, 2022",,https://www.pnas.org/doi/10.1073/pnas.2204233119,,Zhou2022_epistasis,,,TRUE,TRUE,10.1073/pnas.2204233119
2022,Pukhrambam et al. (2022),FALSE,Structural and mechanistic basis of σ-dependent transcriptional pausing,"Chirangini Pukhrambam, Vadim Molodtsov, Mahdi Kooshkbaghi, Ammar Tareen, Hoa Vu, Kyle S Skalenko, Min Su, Zhou Yin, Jared T Winkelman, Justin B Kinney, Richard H Ebright, Bryce E Nickels","Proc Natl Acad Sci USA 119 (23), e2201301119, 2022",,https://www.pnas.org/doi/10.1073/pnas.2201301119,,Pukhrambam2022_pausing,,,TRUE,TRUE,10.1073/pnas.2201301119
